Product,Category,Country,Reported packaging type,Sample size (n),Summarized findings (ng/serving),Compounds tested,Phthalates (ng/serving),Phthalate substitutes (ng/serving),Bisphenols (ng/serving),Author,Title,Published,Reporting format,Mean DBP (ng/g),Mean BBP (ng/g),Mean DEHP (ng/g),Mean DINP (ng/g),Mean DIDP (ng/g),Mean DMP (ng/g),Mean DEP (ng/g),Mean DIBP (ng/g),Mean DNHP (ng/g),Mean DCHP (ng/g),Mean DNOP (ng/g),Mean DIDA (ng/g),Mean DEHA (ng/g),Mean DINCH (ng/g),Mean DEHT (ng/g),Mean BPA (ng/g),Mean BPS (ng/g),Mean BPF (ng/g),Serving size (g),Notes,Avg individual phthalate amount (ng/serving),Avg individual phthalate substitute amount (ng/serving),Avg individual bisphenol amount (ng/serving),Phthalates (n),Phthalate substitutes (n),Bisphenols (n)
Haddock,Seafood,Canada,Non-packaged,4,"5,168 ng/serving for 4 phthalates
1,440 ng/serving for 3 phthalate substitutes
0 ng/serving for 2 bisphenols","Phthalates: DBP, DEHP, DiNP, DEP
Phthalate substitutes: DIDA, DEHA, DINCH
Bisphenols: BPA, BPS",5168,1440,0,Tian et al.,Targeted screening of 11 bisphenols and 7 plasticizers in food composites from Canada and South Africa,2022,mean ± SD,1.68±2.39,N/A,2.71±1.31,8.66±8.23,N/A,N/A,21.4±18.5,N/A,N/A,N/A,N/A,0,9.6±10.2,0,N/A,0,0,N/A,150,,1292,480,0,4,3,2
Hake,Seafood,Canada,Packaged,2,"7,439 ng/serving for 4 phthalates
48,750 ng/serving for 3 phthalate substitutes
7,035 ng/serving for 2 bisphenols","Phthalates: DBP, DEHP, DiNP, DEP
Phthalate substitutes: DIDA, DEHA, DINCH
Bisphenols: BPA, BPS",7439,48750,7035,Tian et al.,Targeted screening of 11 bisphenols and 7 plasticizers in food composites from Canada and South Africa,2022,mean ± SD,25.8±36.3,N/A,0.46±0.58,3.23±4.49,N/A,N/A,20.1±28.3,N/A,N/A,N/A,N/A,0,325±11.4,0,N/A,0,46.9±66.3,N/A,150,,1860,16250,3518,4,3,2
Halibut,Seafood,Canada,Packaged,2,"7,575 ng/serving for 4 phthalates
22,500 ng/serving for 3 phthalate substitutes
0 ng/serving for 2 bisphenols","Phthalates: DBP, DEHP, DiNP, DEP
Phthalate substitutes: DIDA, DEHA, DINCH
Bisphenols: BPA, BPS",7575,22500,0,Tian et al.,Targeted screening of 11 bisphenols and 7 plasticizers in food composites from Canada and South Africa,2022,mean ± SD,0,N/A,0.70±0.28,28.5±31.2,N/A,N/A,21.3±30.0,N/A,N/A,N/A,N/A,0,150±49.9,0,N/A,0,0,N/A,150,,1894,7500,0,4,3,2
Halibut,Seafood,Canada,Non-packaged,3,"4,226 ng/serving for 4 phthalates
3,420 ng/serving for 3 phthalate substitutes
0 ng/serving for 2 bisphenols","Phthalates: DBP, DEHP, DiNP, DEP
Phthalate substitutes: DIDA, DEHA, DINCH
Bisphenols: BPA, BPS",4226,3420,0,Tian et al.,Targeted screening of 11 bisphenols and 7 plasticizers in food composites from Canada and South Africa,2022,mean ± SD,3.85±5.44,N/A,0,0.22±0.30,N/A,N/A,24.1±35.4,N/A,N/A,N/A,N/A,0,17.1±24.4,5.70±9.61,N/A,0,0,N/A,150,,1056,1140,0,4,3,2
Rainbow trout,Seafood,Canada,Packaged,4,"5,540 ng/serving for 4 phthalates
39,185 ng/serving for 3 phthalate substitutes
1,437 ng/serving for 2 bisphenols","Phthalates: DBP, DEHP, DiNP, DEP
Phthalate substitutes: DIDA, DEHA, DINCH
Bisphenols: BPA, BPS",5540,39185,1437,Tian et al.,Targeted screening of 11 bisphenols and 7 plasticizers in food composites from Canada and South Africa,2022,mean ± SD,6.06±7.41,N/A,1.46±1.37,5.41±4.81,N/A,N/A,24.0±25.8,N/A,N/A,N/A,N/A,0,259±84.7,2.23±2.59,N/A,0,9.58±13.4,N/A,150,,1385,13062,719,4,3,2
Rainbow trout,Seafood,Canada,Non-packaged,4,"11,162 ng/serving for 4 phthalates
15,863 ng/serving for 3 phthalate substitutes
0 ng/serving for 2 bisphenols","Phthalates: DBP, DEHP, DiNP, DEP
Phthalate substitutes: DIDA, DEHA, DINCH
Bisphenols: BPA, BPS",11162,15863,0,Tian et al.,Targeted screening of 11 bisphenols and 7 plasticizers in food composites from Canada and South Africa,2022,mean ± SD,4.48±6.35,N/A,0,0.83±0.96,N/A,N/A,69.1±21.1,N/A,N/A,N/A,N/A,0,105±201,0.75±1.21,N/A,0,0,N/A,150,,2790,5288,0,4,3,2
Salmon,Seafood,Canada,Packaged,4,"6,279 ng/serving for 4 phthalates
87,785 ng/serving for 3 phthalate substitutes
3,330 ng/serving for 2 bisphenols","Phthalates: DBP, DEHP, DiNP, DEP
Phthalate substitutes: DIDA, DEHA, DINCH
Bisphenols: BPA, BPS",6279,87785,3330,Tian et al.,Targeted screening of 11 bisphenols and 7 plasticizers in food composites from Canada and South Africa,2022,mean ± SD,9.46±8.80,N/A,0,14.2±20.2,N/A,N/A,18.2±36.3,N/A,N/A,N/A,N/A,0,581±261,4.23±5.33,N/A,0,22.2±31.2,N/A,150,,1570,29262,1665,4,3,2
Salmon,Seafood,Canada,Non-packaged,4,"1,821 ng/serving for 4 phthalates
1,844 ng/serving for 3 phthalate substitutes
1,127 ng/serving for 2 bisphenols","Phthalates: DBP, DEHP, DiNP, DEP
Phthalate substitutes: DIDA, DEHA, DINCH
Bisphenols: BPA, BPS",1821,1844,1127,Tian et al.,Targeted screening of 11 bisphenols and 7 plasticizers in food composites from Canada and South Africa,2022,mean ± SD,2.85±3.24,N/A,0,2.74±4.56,N/A,N/A,6.55±12.9,N/A,N/A,N/A,N/A,0.23±0.37,9.0±2.5,3.06±3.72,N/A,0,7.51±14.7,N/A,150,,455,615,563,4,3,2
Sole,Seafood,Canada,Packaged,4,"6,092 ng/serving for 4 phthalates
61,350 ng/serving for 3 phthalate substitutes
4,065 ng/serving for 2 bisphenols","Phthalates: DBP, DEHP, DiNP, DEP
Phthalate substitutes: DIDA, DEHA, DINCH
Bisphenols: BPA, BPS",6092,61350,4065,Tian et al.,Targeted screening of 11 bisphenols and 7 plasticizers in food composites from Canada and South Africa,2022,mean ± SD,2.32±1.42,N/A,3.93±2.06,0.36±0.30,N/A,N/A,34.0±40.8,N/A,N/A,N/A,N/A,0,409±139,0,N/A,0,27.1±27.8,N/A,150,,1523,20450,2033,4,3,2
Sole,Seafood,Canada,Non-packaged,4,"8,808 ng/serving for 4 phthalates
9,720 ng/serving for 3 phthalate substitutes
294 ng/serving for 2 bisphenols","Phthalates: DBP, DEHP, DiNP, DEP
Phthalate substitutes: DIDA, DEHA, DINCH
Bisphenols: BPA, BPS",8808,9720,294,Tian et al.,Targeted screening of 11 bisphenols and 7 plasticizers in food composites from Canada and South Africa,2022,mean ± SD,2.96±2.42,N/A,7.36±7.78,20.5±36.2,N/A,N/A,27.9±35.6,N/A,N/A,N/A,N/A,0,64.8±105,0,N/A,0,1.96±3.63,N/A,150,,2202,3240,147,4,3,2
Tilapia,Seafood,Canada,Packaged,4,"10,184 ng/serving for 4 phthalates
35,658 ng/serving for 3 phthalate substitutes
4,320 ng/serving for 2 bisphenols","Phthalates: DBP, DEHP, DiNP, DEP
Phthalate substitutes: DIDA, DEHA, DINCH
Bisphenols: BPA, BPS",10184,35658,4320,Tian et al.,Targeted screening of 11 bisphenols and 7 plasticizers in food composites from Canada and South Africa,2022,mean ± SD,6.17±9.44,N/A,1.62±1.43,23.4±19.2,N/A,N/A,36.7±27.8,N/A,N/A,N/A,N/A,0,235±178,2.72±5.14,N/A,0,28.8±33.7,N/A,150,,2546,11886,2160,4,3,2
Tilapia,Seafood,Canada,Non-packaged,4,"10,850 ng/serving for 4 phthalates
4,119 ng/serving for 3 phthalate substitutes
1,251 ng/serving for 2 bisphenols","Phthalates: DBP, DEHP, DiNP, DEP
Phthalate substitutes: DIDA, DEHA, DINCH
Bisphenols: BPA, BPS",10850,4119,1251,Tian et al.,Targeted screening of 11 bisphenols and 7 plasticizers in food composites from Canada and South Africa,2022,mean ± SD,2.32±1.37,N/A,3.71±4.75,39.7±44.1,N/A,N/A,26.6±30.9,N/A,N/A,N/A,N/A,0.27±0.45,26.3±21.7,0.89±1.48,N/A,0,8.34±16.4,N/A,150,,2712,1373,626,4,3,2
Arugula,Fruits and vegetables,Canada,Packaged,4,"420 ng/serving for 4 phthalates
51 ng/serving for 3 phthalate substitutes
0 ng/serving for 2 bisphenols","Phthalates: DBP, DEHP, DiNP, DEP
Phthalate substitutes: DIDA, DEHA, DINCH
Bisphenols: BPA, BPS",420,51,0,Tian et al.,Targeted screening of 11 bisphenols and 7 plasticizers in food composites from Canada and South Africa,2022,mean ± SD,4.50±4.61,N/A,0.83±0.93,0,N/A,N/A,8.66±7.14,N/A,N/A,N/A,N/A,0.33±0.51,0.51±0.92,0.85±1.40,N/A,0,0,N/A,30,,105,17,0,4,3,2
Arugula,Fruits and vegetables,Canada,Non-packaged,3,"577 ng/serving for 4 phthalates
107 ng/serving for 3 phthalate substitutes
0 ng/serving for 2 bisphenols","Phthalates: DBP, DEHP, DiNP, DEP
Phthalate substitutes: DIDA, DEHA, DINCH
Bisphenols: BPA, BPS",577,107,0,Tian et al.,Targeted screening of 11 bisphenols and 7 plasticizers in food composites from Canada and South Africa,2022,mean ± SD,4.99±2.48,N/A,0.24±0.32,0,N/A,N/A,14.0±12.3,N/A,N/A,N/A,N/A,0,0,3.58±5.93,N/A,0,0,N/A,30,,144,36,0,4,3,2
Romaine lettuce,Fruits and vegetables,Canada,Packaged,4,"410 ng/serving for 4 phthalates
78 ng/serving for 3 phthalate substitutes
0 ng/serving for 2 bisphenols","Phthalates: DBP, DEHP, DiNP, DEP
Phthalate substitutes: DIDA, DEHA, DINCH
Bisphenols: BPA, BPS",410,78,0,Tian et al.,Targeted screening of 11 bisphenols and 7 plasticizers in food composites from Canada and South Africa,2022,mean ± SD,2.33±1.13,N/A,0.63±0.82,0,N/A,N/A,10.7±11.6,N/A,N/A,N/A,N/A,0,0,2.60±4.99,N/A,0,0,N/A,30,,102,26,0,4,3,2
Romaine lettuce,Fruits and vegetables,Canada,Non-packaged,4,"500 ng/serving for 4 phthalates
162 ng/serving for 3 phthalate substitutes
0 ng/serving for 2 bisphenols","Phthalates: DBP, DEHP, DiNP, DEP
Phthalate substitutes: DIDA, DEHA, DINCH
Bisphenols: BPA, BPS",500,162,0,Tian et al.,Targeted screening of 11 bisphenols and 7 plasticizers in food composites from Canada and South Africa,2022,mean ± SD,3.01±1.81,N/A,0.40±0.52,0.66±0.92,N/A,N/A,12.6±14.4,N/A,N/A,N/A,N/A,0,2.55±3.63,2.86±3.22,N/A,0,0,N/A,30,,125,54,0,4,3,2
Spinach,Fruits and vegetables,Canada,Packaged,4,"464 ng/serving for 4 phthalates
0 ng/serving for 3 phthalate substitutes
0 ng/serving for 2 bisphenols","Phthalates: DBP, DEHP, DiNP, DEP
Phthalate substitutes: DIDA, DEHA, DINCH
Bisphenols: BPA, BPS",464,0,0,Tian et al.,Targeted screening of 11 bisphenols and 7 plasticizers in food composites from Canada and South Africa,2022,mean ± SD,5.49±4.35,N/A,0.14±0.21,0.11±0.14,N/A,N/A,9.74±11.2,N/A,N/A,N/A,N/A,0,0,0,N/A,0,0,N/A,30,,116,0,0,4,3,2
Spinach,Fruits and vegetables,Canada,Non-packaged,4,"200 ng/serving for 4 phthalates
50 ng/serving for 3 phthalate substitutes
0 ng/serving for 2 bisphenols","Phthalates: DBP, DEHP, DiNP, DEP
Phthalate substitutes: DIDA, DEHA, DINCH
Bisphenols: BPA, BPS",200,50,0,Tian et al.,Targeted screening of 11 bisphenols and 7 plasticizers in food composites from Canada and South Africa,2022,mean ± SD,4.95±3.38,N/A,0.36±0.73,0.45±0.50,N/A,N/A,0.89±1.63,N/A,N/A,N/A,N/A,0.31±0.51,1.37±1.56,0,N/A,0,0,N/A,30,,50,17,0,4,3,2
Watercress,Fruits and vegetables,Canada,Packaged,3,"463 ng/serving for 4 phthalates
23 ng/serving for 3 phthalate substitutes
5 ng/serving for 2 bisphenols","Phthalates: DBP, DEHP, DiNP, DEP
Phthalate substitutes: DIDA, DEHA, DINCH
Bisphenols: BPA, BPS",463,23,5,Tian et al.,Targeted screening of 11 bisphenols and 7 plasticizers in food composites from Canada and South Africa,2022,mean ± SD,3.29±1.65,N/A,0.74±0.72,0.39±0.62,N/A,N/A,11.0±14.4,N/A,N/A,N/A,N/A,0.41±0.58,0.36±0.56,0,N/A,0,0.17±0.12,N/A,30,,116,8,3,4,3,2
Watercress,Fruits and vegetables,Canada,Non-packaged,3,"338 ng/serving for 4 phthalates
47 ng/serving for 3 phthalate substitutes
0 ng/serving for 2 bisphenols","Phthalates: DBP, DEHP, DiNP, DEP
Phthalate substitutes: DIDA, DEHA, DINCH
Bisphenols: BPA, BPS",338,47,0,Tian et al.,Targeted screening of 11 bisphenols and 7 plasticizers in food composites from Canada and South Africa,2022,mean ± SD,3.02±2.40,N/A,0.71±0.73,1.10±1.21,N/A,N/A,6.43±11.0,N/A,N/A,N/A,N/A,0.32±0.42,1.26±1.13,0,N/A,0,0,N/A,30,,84,16,0,4,3,2
Whole wheat bread (outside layer),Grain,Canada,Packaged,4,"5,505 ng/serving for 4 phthalates
470 ng/serving for 3 phthalate substitutes
0 ng/serving for 2 bisphenols","Phthalates: DBP, DEHP, DiNP, DEP
Phthalate substitutes: DIDA, DEHA, DINCH
Bisphenols: BPA, BPS",5505,470,0,Tian et al.,Targeted screening of 11 bisphenols and 7 plasticizers in food composites from Canada and South Africa,2022,mean ± SD,28.1±27.8,N/A,0,57.8±60.8,N/A,N/A,97.6±94.5,N/A,N/A,N/A,N/A,0,7.35±6.33,8.32±9.98,N/A,0,0,N/A,30,,1376,157,0,4,3,2
Whole wheat bread (core),Grain,Canada,Packaged,4,"3,368 ng/serving for 4 phthalates
237 ng/serving for 3 phthalate substitutes
0 ng/serving for 2 bisphenols","Phthalates: DBP, DEHP, DiNP, DEP
Phthalate substitutes: DIDA, DEHA, DINCH
Bisphenols: BPA, BPS",3368,237,0,Tian et al.,Targeted screening of 11 bisphenols and 7 plasticizers in food composites from Canada and South Africa,2022,mean ± SD,9.13±16.5,N/A,1.62±1.84,47.9±67.1,N/A,N/A,53.6±54.2,N/A,N/A,N/A,N/A,0,2.70±5.39,5.21±10.2,N/A,0,0,N/A,30,,842,79,0,4,3,2
White bread (outside layer),Grain,Canada,Packaged,4,"2,749 ng/serving for 4 phthalates
212 ng/serving for 3 phthalate substitutes
0 ng/serving for 2 bisphenols","Phthalates: DBP, DEHP, DiNP, DEP
Phthalate substitutes: DIDA, DEHA, DINCH
Bisphenols: BPA, BPS",2749,212,0,Tian et al.,Targeted screening of 11 bisphenols and 7 plasticizers in food composites from Canada and South Africa,2022,mean ± SD,9.09±10.3,N/A,1.54±2.11,45.8±29.0,N/A,N/A,35.2±51.1,N/A,N/A,N/A,N/A,1.38±2.75,0,5.67±6.67,N/A,0,0,N/A,30,,687,71,0,4,3,2
White bread (core),Grain,Canada,Packaged,4,"1,605 ng/serving for 4 phthalates
321 ng/serving for 3 phthalate substitutes
0 ng/serving for 2 bisphenols","Phthalates: DBP, DEHP, DiNP, DEP
Phthalate substitutes: DIDA, DEHA, DINCH
Bisphenols: BPA, BPS",1605,321,0,Tian et al.,Targeted screening of 11 bisphenols and 7 plasticizers in food composites from Canada and South Africa,2022,mean ± SD,13.6±22.1,N/A,0,28.0±21.2,N/A,N/A,11.9±23.7,N/A,N/A,N/A,N/A,0,6.03±7.16,4.67±5.53,N/A,0,0,N/A,30,,401,107,0,4,3,2
Non-salted butter (outside layer),Dairy,Canada,Packaged,4,"2,778 ng/serving for 4 phthalates
12,977 ng/serving for 3 phthalate substitutes
0 ng/serving for 2 bisphenols","Phthalates: DBP, DEHP, DiNP, DEP
Phthalate substitutes: DIDA, DEHA, DINCH
Bisphenols: BPA, BPS",2778,12977,0,Tian et al.,Targeted screening of 11 bisphenols and 7 plasticizers in food composites from Canada and South Africa,2022,mean ± SD,27.4±43.0,N/A,7.33±14.6,4.49±8.90,N/A,N/A,146±175,N/A,N/A,N/A,N/A,32.4±49.5,39.7±47.7,793±929,N/A,0,0,N/A,15,,695,4326,0,4,3,2
Non-salted butter (core),Dairy,Canada,Packaged,4,"2,433 ng/serving for 4 phthalates
17,904 ng/serving for 3 phthalate substitutes
0 ng/serving for 2 bisphenols","Phthalates: DBP, DEHP, DiNP, DEP
Phthalate substitutes: DIDA, DEHA, DINCH
Bisphenols: BPA, BPS",2433,17904,0,Tian et al.,Targeted screening of 11 bisphenols and 7 plasticizers in food composites from Canada and South Africa,2022,mean ± SD,6.71±13.3,N/A,1.93±3.79,1.53±2.99,N/A,N/A,152±120,N/A,N/A,N/A,N/A,22.7±30.5,10.9±15.8,1160±1390,N/A,0,0,N/A,15,,608,5968,0,4,3,2
Salted butter (outside layer),Dairy,Canada,Packaged,4,"1,476 ng/serving for 4 phthalates
16,050 ng/serving for 3 phthalate substitutes
0 ng/serving for 2 bisphenols","Phthalates: DBP, DEHP, DiNP, DEP
Phthalate substitutes: DIDA, DEHA, DINCH
Bisphenols: BPA, BPS",1476,16050,0,Tian et al.,Targeted screening of 11 bisphenols and 7 plasticizers in food composites from Canada and South Africa,2022,mean ± SD,10.3±18.8,N/A,17.1±32.0,6.01±7.09,N/A,N/A,65.0±81.4,N/A,N/A,N/A,N/A,50.5±40.9,99.5±121,920±694,N/A,0,0,N/A,15,,369,5350,0,4,3,2
Salted butter (core),Dairy,Canada,Packaged,4,"1,714 ng/serving for 4 phthalates
15,108 ng/serving for 3 phthalate substitutes
0 ng/serving for 2 bisphenols","Phthalates: DBP, DEHP, DiNP, DEP
Phthalate substitutes: DIDA, DEHA, DINCH
Bisphenols: BPA, BPS",1714,15108,0,Tian et al.,Targeted screening of 11 bisphenols and 7 plasticizers in food composites from Canada and South Africa,2022,mean ± SD,3.08±6.08,N/A,16.1±32.1,0,N/A,N/A,95.1±139,N/A,N/A,N/A,N/A,4.12±4.71,22.1±30.4,981±877,N/A,0,0,N/A,15,,429,5036,0,4,3,2
Chicken breast,Meat and poultry,Canada,Packaged,4,"5,644 ng/serving for 4 phthalates
25,565 ng/serving for 3 phthalate substitutes
1,870 ng/serving for 2 bisphenols","Phthalates: DBP, DEHP, DiNP, DEP
Phthalate substitutes: DIDA, DEHA, DINCH
Bisphenols: BPA, BPS",5644,25565,1870,Tian et al.,Targeted screening of 11 bisphenols and 7 plasticizers in food composites from Canada and South Africa,2022,mean ± SD,2.73±4.64,N/A,0.81±1.55,16.2±14.1,N/A,N/A,36.7±24.5,N/A,N/A,N/A,N/A,0,254±80.2,1.65±1.85,N/A,0,18.7±34.3,N/A,100,,1411,8522,935,4,3,2
Canned tuna in oil,Seafood,Canada,Canned,4,"5,411 ng/serving for 4 phthalates
718 ng/serving for 3 phthalate substitutes
0 ng/serving for 2 bisphenols","Phthalates: DBP, DEHP, DiNP, DEP
Phthalate substitutes: DIDA, DEHA, DINCH
Bisphenols: BPA, BPS",5411,718,0,Tian et al.,Targeted screening of 11 bisphenols and 7 plasticizers in food composites from Canada and South Africa,2022,mean ± SD,3.76±4.55,N/A,10.3±11.8,29.8±13.5,N/A,N/A,19.8±39.5,N/A,N/A,N/A,N/A,0,0,8.45±9.74,N/A,0,0,N/A,85,,1353,239,0,4,3,2
Canned tuna in water,Seafood,Canada,Canned,4,"2,177 ng/serving for 4 phthalates
258 ng/serving for 3 phthalate substitutes
0 ng/serving for 2 bisphenols","Phthalates: DBP, DEHP, DiNP, DEP
Phthalate substitutes: DIDA, DEHA, DINCH
Bisphenols: BPA, BPS",2177,258,0,Tian et al.,Targeted screening of 11 bisphenols and 7 plasticizers in food composites from Canada and South Africa,2022,mean ± SD,3.62±2.72,N/A,4.57±3.31,10.6±2.61,N/A,N/A,6.82±13.5,N/A,N/A,N/A,N/A,0.55±0.93,2.49±3.49,0,N/A,0,0,N/A,85,,544,86,0,4,3,2
Anchovy,Seafood,South Africa,Packaged,1,"3,869 ng/serving for 4 phthalates
0 ng/serving for 3 phthalate substitutes
0 ng/serving for 2 bisphenols","Phthalates: DBP, DEHP, DiNP, DEP
Phthalate substitutes: DIDA, DEHA, DINCH
Bisphenols: BPA, BPS",3869,0,0,Tian et al.,Targeted screening of 11 bisphenols and 7 plasticizers in food composites from Canada and South Africa,2022,mean ± SD,19.8,N/A,3.86,22.4,N/A,N/A,82.9,N/A,N/A,N/A,N/A,0,0,0,N/A,0,0,N/A,30,,967,0,0,4,3,2
Bass,Seafood,South Africa,Non-packaged,1,"71 ng/serving for 4 phthalates
0 ng/serving for 3 phthalate substitutes
0 ng/serving for 2 bisphenols","Phthalates: DBP, DEHP, DiNP, DEP
Phthalate substitutes: DIDA, DEHA, DINCH
Bisphenols: BPA, BPS",71,0,0,Tian et al.,Targeted screening of 11 bisphenols and 7 plasticizers in food composites from Canada and South Africa,2022,mean ± SD,0,N/A,0,0.47,N/A,N/A,0,N/A,N/A,N/A,N/A,0,0,0,N/A,0,0,N/A,150,,18,0,0,4,3,2
Bream,Seafood,South Africa,Packaged,1,"192 ng/serving for 4 phthalates
0 ng/serving for 3 phthalate substitutes
0 ng/serving for 2 bisphenols","Phthalates: DBP, DEHP, DiNP, DEP
Phthalate substitutes: DIDA, DEHA, DINCH
Bisphenols: BPA, BPS",192,0,0,Tian et al.,Targeted screening of 11 bisphenols and 7 plasticizers in food composites from Canada and South Africa,2022,mean ± SD,0,N/A,0,1.28,N/A,N/A,0,N/A,N/A,N/A,N/A,0,0,0,N/A,0,0,N/A,150,,48,0,0,4,3,2
Bream,Seafood,South Africa,Non-packaged,1,"3,840 ng/serving for 4 phthalates
2,625 ng/serving for 3 phthalate substitutes
0 ng/serving for 2 bisphenols","Phthalates: DBP, DEHP, DiNP, DEP
Phthalate substitutes: DIDA, DEHA, DINCH
Bisphenols: BPA, BPS",3840,2625,0,Tian et al.,Targeted screening of 11 bisphenols and 7 plasticizers in food composites from Canada and South Africa,2022,mean ± SD,0,N/A,0,0,N/A,N/A,25.6,N/A,N/A,N/A,N/A,0,17.5,0,N/A,0,0,N/A,150,,960,875,0,4,3,2
Catfish,Seafood,South Africa,Non-packaged,1,"1,110 ng/serving for 4 phthalates
0 ng/serving for 3 phthalate substitutes
0 ng/serving for 2 bisphenols","Phthalates: DBP, DEHP, DiNP, DEP
Phthalate substitutes: DIDA, DEHA, DINCH
Bisphenols: BPA, BPS",1110,0,0,Tian et al.,Targeted screening of 11 bisphenols and 7 plasticizers in food composites from Canada and South Africa,2022,mean ± SD,0,N/A,0,0,N/A,N/A,7.4,N/A,N/A,N/A,N/A,0,0,0,N/A,0,0,N/A,150,,278,0,0,4,3,2
Haddock,Seafood,South Africa,Packaged,1,"0 ng/serving for 4 phthalates
0 ng/serving for 3 phthalate substitutes
0 ng/serving for 2 bisphenols","Phthalates: DBP, DEHP, DiNP, DEP
Phthalate substitutes: DIDA, DEHA, DINCH
Bisphenols: BPA, BPS",0,0,0,Tian et al.,Targeted screening of 11 bisphenols and 7 plasticizers in food composites from Canada and South Africa,2022,mean ± SD,0,N/A,0,0,N/A,N/A,0,N/A,N/A,N/A,N/A,0,0,0,N/A,0,0,N/A,150,,0,0,0,4,3,2
Hake,Seafood,South Africa,Packaged,2,"113 ng/serving for 4 phthalates
0 ng/serving for 3 phthalate substitutes
0 ng/serving for 2 bisphenols","Phthalates: DBP, DEHP, DiNP, DEP
Phthalate substitutes: DIDA, DEHA, DINCH
Bisphenols: BPA, BPS",113,0,0,Tian et al.,Targeted screening of 11 bisphenols and 7 plasticizers in food composites from Canada and South Africa,2022,mean ± SD,0,N/A,0,0.75±1.1,N/A,N/A,0,N/A,N/A,N/A,N/A,0,0,0,N/A,0,0,N/A,150,,28,0,0,4,3,2
Hake,Seafood,South Africa,Non-packaged,1,"1,415 ng/serving for 4 phthalates
12,195 ng/serving for 3 phthalate substitutes
0 ng/serving for 2 bisphenols","Phthalates: DBP, DEHP, DiNP, DEP
Phthalate substitutes: DIDA, DEHA, DINCH
Bisphenols: BPA, BPS",1415,12195,0,Tian et al.,Targeted screening of 11 bisphenols and 7 plasticizers in food composites from Canada and South Africa,2022,mean ± SD,9.43,N/A,0,0,N/A,N/A,0,N/A,N/A,N/A,N/A,0,81.3,0,N/A,0,0,N/A,150,,354,4065,0,4,3,2
Mackerel,Seafood,South Africa,Packaged,3,"2,435 ng/serving for 4 phthalates
1,488 ng/serving for 3 phthalate substitutes
0 ng/serving for 2 bisphenols","Phthalates: DBP, DEHP, DiNP, DEP
Phthalate substitutes: DIDA, DEHA, DINCH
Bisphenols: BPA, BPS",2435,1488,0,Tian et al.,Targeted screening of 11 bisphenols and 7 plasticizers in food composites from Canada and South Africa,2022,mean ± SD,8.73±10.3,N/A,0,0,N/A,N/A,7.5±13.0,N/A,N/A,N/A,N/A,0,8.44±14.6,1.48±2.57,N/A,0,0,N/A,150,,609,496,0,4,3,2
Salmon,Seafood,South Africa,Non-packaged,1,"0 ng/serving for 4 phthalates
48,900 ng/serving for 3 phthalate substitutes
0 ng/serving for 2 bisphenols","Phthalates: DBP, DEHP, DiNP, DEP
Phthalate substitutes: DIDA, DEHA, DINCH
Bisphenols: BPA, BPS",0,48900,0,Tian et al.,Targeted screening of 11 bisphenols and 7 plasticizers in food composites from Canada and South Africa,2022,mean ± SD,0,N/A,0,0,N/A,N/A,0,N/A,N/A,N/A,N/A,0,326,0,N/A,0,0,N/A,150,,0,16300,0,4,3,2
Tilapia,Seafood,South Africa,Packaged,2,"3,270 ng/serving for 4 phthalates
48 ng/serving for 3 phthalate substitutes
0 ng/serving for 2 bisphenols","Phthalates: DBP, DEHP, DiNP, DEP
Phthalate substitutes: DIDA, DEHA, DINCH
Bisphenols: BPA, BPS",3270,48,0,Tian et al.,Targeted screening of 11 bisphenols and 7 plasticizers in food composites from Canada and South Africa,2022,mean ± SD,0,N/A,0,0.2±0.28,N/A,N/A,21.6±30.5,N/A,N/A,N/A,N/A,0,0.32±0.46,0,N/A,0,0,N/A,150,,818,16,0,4,3,2
Tilapia,Seafood,South Africa,Non-packaged,1,"713 ng/serving for 4 phthalates
0 ng/serving for 3 phthalate substitutes
0 ng/serving for 2 bisphenols","Phthalates: DBP, DEHP, DiNP, DEP
Phthalate substitutes: DIDA, DEHA, DINCH
Bisphenols: BPA, BPS",713,0,0,Tian et al.,Targeted screening of 11 bisphenols and 7 plasticizers in food composites from Canada and South Africa,2022,mean ± SD,3.49,N/A,0,1.26,N/A,N/A,0,N/A,N/A,N/A,N/A,0,0,0,N/A,0,0,N/A,150,,178,0,0,4,3,2
Romaine lettuce,Fruits and vegetables,South Africa,Packaged,2,"563 ng/serving for 4 phthalates
1,696 ng/serving for 3 phthalate substitutes
51 ng/serving for 2 bisphenols","Phthalates: DBP, DEHP, DiNP, DEP
Phthalate substitutes: DIDA, DEHA, DINCH
Bisphenols: BPA, BPS",563,1696,51,Tian et al.,Targeted screening of 11 bisphenols and 7 plasticizers in food composites from Canada and South Africa,2022,mean ± SD,0,N/A,0.46±0.59,0.51±0.66,N/A,N/A,17.8±0.16,N/A,N/A,N/A,N/A,0,53.8±76.1,2.73±3.64,N/A,1.69±1.97,0,N/A,30,,141,565,25,4,3,2
